,Name,Total Spending,Total Income,Year
0,  United States,718763172.0,719014669.0,2018
0,  United States,694280590.0,694192708.0,2017
0,  United States,664838063.0,671164419.0,2016
0,  United States,639322287.0,641389895.0,2015
0,  United States,613717181.0,618055532.0,2014
0,  United States,597882683.0,597734502.0,2013
0,  United States,593464483.0,594525532.0,2012
0,  United States,596274475.0,599410800.0,2011
0,  United States,601942218,592895329,2010
0,  United States,604856342,590947579,2009
0,  United States,593175016,582125621,2008
